
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:4E:35:1A:9D:A0, 2026-05-11 05:09:07, 2026-05-11 05:09:09,  1, 260, WPA2, CCMP, PSK, -74,        2,        0,   0.  0.  0.  0,  10, ICT-IoT-AP, 
66:0E:CF:2A:46:5C, 2026-05-11 05:09:07, 2026-05-11 05:09:09,  1, 360, WPA2, CCMP, PSK, -62,        6,        0,   0.  0.  0.  0,   3, Goy, 
04:BD:88:F6:52:80, 2026-05-11 05:09:07, 2026-05-11 05:09:07,  1, 130, OPN, ,   , -65,        3,        2,   0.  0.  0.  0,  10, wifi@unifi, 
AC:A3:1E:27:60:40, 2026-05-11 05:09:07, 2026-05-11 05:09:10,  1, 195, OPN, ,   , -87,        1,        7,   0.  0.  0.  0,  10, wifi@unifi, 
60:22:32:53:0E:C5, 2026-05-11 05:09:07, 2026-05-11 05:09:07,  1, 130, OPN, ,   , -85,        1,        0,   0.  0.  0.  0,  12,  GMI-Student, 
DA:6B:08:96:D6:48, 2026-05-11 05:09:07, 2026-05-11 05:09:10,  1, 360, WPA2, CCMP, PSK, -70,        4,        0,   0.  0.  0.  0,   6, Laaaaa, 
AC:A3:1E:27:69:20, 2026-05-11 05:09:07, 2026-05-11 05:09:07,  1,  -1, OPN, ,   , -74,        0,        4,   0.  0.  0.  0,   0, , 
FA:8F:CA:8D:6D:D9, 2026-05-11 05:09:07, 2026-05-11 05:09:07,  1, 130, OPN, ,   , -68,        2,        0,   0.  0.  0.  0,  22, JBL BAR 300_A66F.l083,, 
B6:61:9A:FC:7C:27, 2026-05-11 05:09:08, 2026-05-11 05:09:08,  6, 130, WPA2, CCMP, PSK, -76,        1,        0,   0.  0.  0.  0,   8, Vecnussy, 
78:45:58:14:7D:A8, 2026-05-11 05:09:08, 2026-05-11 05:09:08,  6, 195, OPN, ,   , -77,        1,        0,   0.  0.  0.  0,  12,  GMI-Student, 
60:22:32:52:D0:71, 2026-05-11 05:09:08, 2026-05-11 05:09:08,  6, 130, OPN, ,   , -81,        1,        0,   0.  0.  0.  0,  12,  GMI-Student, 
60:22:32:53:34:39, 2026-05-11 05:09:08, 2026-05-11 05:09:08, 11, 130, OPN, ,   , -75,        1,        0,   0.  0.  0.  0,  12,  GMI-Student, 
32:5C:37:B5:44:82, 2026-05-11 05:09:08, 2026-05-11 05:09:08, 11, 360, WPA2, CCMP, PSK, -37,        1,        0,   0.  0.  0.  0,   5, funny, 
C8:78:7D:62:EF:E1, 2026-05-11 05:09:10, 2026-05-11 05:09:10,  9, 360, WPA2, CCMP, PSK, -80,        1,       64,   0.  0.  0.  0,   6, gmites, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
0A:1D:41:68:6E:08, 2026-05-11 05:09:07, 2026-05-11 05:09:07, -35,        1, (not associated) ,
AC:50:DE:D6:19:5B, 2026-05-11 05:09:07, 2026-05-11 05:09:07, -79,        1, AC:A3:1E:27:60:40,
28:D0:43:53:41:E2, 2026-05-11 05:09:07, 2026-05-11 05:09:07, -52,        2, 66:0E:CF:2A:46:5C,
A8:A7:95:3F:9F:E3, 2026-05-11 05:09:07, 2026-05-11 05:09:07,  -1,        4, AC:A3:1E:27:69:20,
AE:C0:70:A3:8F:F0, 2026-05-11 05:09:07, 2026-05-11 05:09:07, -33,        1, (not associated) ,
3E:52:A1:07:D7:6D, 2026-05-11 05:09:10, 2026-05-11 05:09:10, -89,       51, C8:78:7D:62:EF:E1,
3E:52:A1:07:DA:DD, 2026-05-11 05:09:10, 2026-05-11 05:09:10,  -1,       13, C8:78:7D:62:EF:E1,

